,Ukraine       ,Belarus       ,Azerbaijan    ,Iceland       ,Norway        ,Romania       ,Armenia       ,Montenegro    ,Greece        ,Poland        ,Austria       ,Germany       ,Sweden        ,France        ,Russia        ,Italy         ,Slovenia      ,Finland       ,Spain         ,Switzerland   ,Hungary       ,Malta         ,Denmark       ,Netherlands   ,San Marino    ,United Kingdom
Albania       ,0,0,0,0,0,0,0,6,0,2,5,4,7,0,0,10,0,0,12,0,8,1,0,0,3,0
Armenia       ,0,8,0,0,0,0,0,12,0,7,0,6,0,0,10,0,0,0,2,5,0,0,1,4,3,0
Austria       ,5,0,0,2,1,8,12,0,0,0,0,0,6,0,0,0,0,4,0,3,7,0,0,10,0,0
Azerbaijan    ,10,7,0,0,0,6,0,0,2,4,1,0,0,0,12,0,0,0,0,0,8,5,0,0,3,0
Belarus       ,8,0,3,0,4,1,10,0,7,6,0,0,0,0,12,0,0,0,0,0,5,0,0,2,0,0
Belgium       ,4,0,0,0,0,5,0,0,0,0,12,0,10,0,0,0,0,3,2,0,7,0,6,8,0,1
Denmark       ,1,0,0,5,6,0,2,0,0,0,8,0,12,0,0,0,0,4,0,0,3,0,0,10,0,7
Estonia       ,8,0,0,0,3,0,5,0,0,0,4,0,10,0,1,0,0,6,2,0,7,0,0,12,0,0
Finland       ,0,0,0,0,0,4,8,12,5,0,3,0,0,0,6,2,1,0,0,0,10,0,0,7,0,0
France        ,2,0,0,0,7,0,4,0,0,0,12,0,10,1,0,0,0,0,0,0,5,3,6,8,0,0
Georgia       ,0,0,0,7,2,0,12,0,5,0,10,0,4,0,0,1,0,0,6,0,0,0,3,8,0,0
Germany       ,6,0,7,0,0,0,12,0,0,4,10,5,2,0,8,0,0,0,0,1,0,0,0,0,0,3
Greece        ,0,0,0,2,5,0,6,0,10,0,7,0,0,0,0,0,0,4,1,3,0,0,8,12,0,0
Hungary       ,5,0,0,0,3,0,7,0,1,0,12,0,2,0,10,0,0,0,0,4,6,0,0,8,0,0
Iceland       ,2,0,0,5,0,0,7,0,3,0,10,0,8,0,0,0,0,6,0,1,0,0,0,12,4,0
Ireland       ,0,0,0,0,1,0,2,0,3,0,10,0,7,0,0,0,0,5,0,0,6,0,8,12,0,4
Israel        ,0,0,0,0,7,2,0,0,0,0,12,0,4,0,0,0,0,0,6,5,1,3,0,10,0,8
Italy         ,5,1,0,0,0,8,6,0,0,2,12,0,10,0,3,0,0,0,4,0,7,0,0,0,0,0
Latvia        ,10,0,0,7,0,5,0,0,8,3,12,0,0,0,0,0,0,6,0,2,0,1,0,4,0,0
Lithuania     ,7,0,0,0,5,0,10,0,0,0,6,0,8,0,2,0,0,3,4,0,1,0,0,12,0,0
Macedonia     ,5,3,0,0,8,0,0,0,0,0,10,0,7,0,6,0,0,0,4,2,0,0,1,12,0,0
Malta         ,0,0,0,0,2,8,6,0,0,1,10,0,7,0,5,12,0,0,0,3,0,0,0,0,0,4
Moldova       ,10,5,0,0,0,12,3,0,2,0,7,0,6,0,8,0,0,0,0,0,4,0,0,0,1,0
Montenegro    ,7,1,0,0,0,0,10,0,4,0,2,0,3,0,0,6,8,0,0,5,12,0,0,0,0,0
Netherlands   ,0,0,0,6,0,4,0,0,2,0,10,0,8,0,0,0,0,7,5,0,0,0,1,12,0,3
Norway        ,5,0,0,0,7,0,1,0,0,0,0,8,4,0,0,0,0,3,2,10,0,0,6,12,0,0
Poland        ,0,0,0,0,3,1,4,0,0,0,12,0,8,0,2,0,0,0,0,7,6,0,5,10,0,0
Portugal      ,0,0,0,0,1,0,7,0,0,0,8,2,12,0,0,0,0,0,5,6,10,0,4,3,0,0
Romania       ,7,12,10,1,0,0,8,0,0,4,5,0,2,0,0,0,0,0,0,0,6,0,0,3,0,0
Russia        ,0,0,12,8,0,0,6,0,0,0,0,0,10,0,0,0,0,3,0,0,7,4,1,2,0,5
San_Marino    ,0,0,0,0,5,0,0,7,1,0,12,2,8,0,0,0,0,0,4,3,0,0,6,10,0,0
Slovenia      ,6,0,0,1,0,8,4,0,0,0,12,0,10,0,0,0,0,0,0,0,2,0,3,7,0,5
Spain         ,0,0,0,4,3,0,5,0,2,0,12,0,0,1,0,0,0,6,0,0,7,0,8,10,0,0
Sweden        ,0,0,0,0,5,0,0,0,0,0,12,7,6,0,0,2,0,4,8,0,1,0,3,10,0,0
Switzerland   ,0,0,0,6,10,0,7,0,0,0,12,0,8,0,0,0,0,2,0,3,4,5,1,0,0,0
Ukraine       ,0,6,1,0,0,0,10,0,7,0,8,5,12,0,4,0,0,0,2,0,3,0,0,0,0,0
United_Kingdom,0,0,0,4,0,0,0,0,0,2,12,0,7,0,0,0,0,6,5,1,0,10,3,8,0,0
